frame,time_s,L_raw,L_peak
0,0.0,161.0,161.0
1,0.033366700033366704,161.0,161.0
2,0.06673340006673341,161.0,161.0
3,0.1001001001001001,161.0,161.0
4,0.13346680013346682,161.0,161.0
5,0.16683350016683351,162.0,162.0
6,0.2002002002002002,161.0,162.0
7,0.2335669002335669,161.0,162.0
8,0.26693360026693363,161.0,162.0
9,0.3003003003003003,161.0,162.0
10,0.33366700033366703,161.0,162.0
11,0.3670337003670337,161.0,162.0
12,0.4004004004004004,161.0,162.0
13,0.4337671004337671,162.0,162.0
14,0.4671338004671338,162.0,162.0
15,0.5005005005005005,162.0,162.0
16,0.5338672005338673,162.0,162.0
17,0.5672339005672339,162.0,162.0
18,0.6006006006006006,162.0,162.0
19,0.6339673006339673,161.0,162.0
20,0.6673340006673341,160.0,162.0
21,0.7007007007007007,160.0,162.0
22,0.7340674007340674,160.0,162.0
23,0.7674341007674341,160.0,162.0
24,0.8008008008008008,160.0,162.0
25,0.8341675008341676,161.0,162.0
26,0.8675342008675342,161.0,162.0
27,0.9009009009009009,161.0,162.0
28,0.9342676009342676,161.0,162.0
29,0.9676343009676344,161.0,162.0
30,1.001001001001001,162.0,162.0
31,1.0343677010343677,161.0,162.0
32,1.0677344010677345,161.0,162.0
33,1.1011011011011012,162.0,162.0
34,1.1344678011344678,162.0,162.0
35,1.1678345011678346,162.0,162.0
36,1.2012012012012012,162.0,162.0
37,1.234567901234568,162.0,162.0
38,1.2679346012679347,162.0,162.0
39,1.3013013013013013,162.0,162.0
40,1.3346680013346681,162.0,162.0
41,1.3680347013680347,161.0,162.0
42,1.4014014014014013,162.0,162.0
43,1.4347681014347682,162.0,162.0
44,1.4681348014681348,162.0,162.0
45,1.5015015015015016,162.0,162.0
46,1.5348682015348682,162.0,162.0
47,1.5682349015682349,162.0,162.0
48,1.6016016016016017,162.0,162.0
49,1.6349683016349683,159.0,162.0
50,1.6683350016683351,156.0,162.0
51,1.7017017017017018,151.0,162.0
52,1.7350684017350684,151.0,162.0
53,1.7684351017684352,147.0,162.0
54,1.8018018018018018,147.0,162.0
55,1.8351685018351687,144.0,162.0
56,1.8685352018685353,144.0,162.0
57,1.901901901901902,141.0,162.0
58,1.9352686019352687,141.0,162.0
59,1.9686353019686353,137.0,162.0
60,2.002002002002002,137.0,162.0
61,2.0353687020353686,139.0,162.0
62,2.0687354020687354,141.0,162.0
63,2.1021021021021022,141.0,162.0
64,2.135468802135469,141.0,162.0
65,2.1688355021688355,138.0,162.0
66,2.2022022022022023,136.0,162.0
67,2.235568902235569,135.0,162.0
68,2.2689356022689355,136.0,162.0
69,2.3023023023023024,137.0,162.0
70,2.335669002335669,141.0,162.0
71,2.3690357023690356,141.0,162.0
72,2.4024024024024024,141.0,162.0
73,2.4357691024357693,138.0,162.0
74,2.469135802469136,138.0,162.0
75,2.5025025025025025,136.0,162.0
76,2.5358692025358693,136.0,162.0
77,2.569235902569236,136.0,162.0
78,2.6026026026026026,136.0,162.0
79,2.6359693026359694,136.0,162.0
80,2.6693360026693362,136.0,162.0
81,2.7027027027027026,138.0,162.0
82,2.7360694027360695,138.0,162.0
83,2.7694361027694363,140.0,162.0
84,2.8028028028028027,140.0,162.0
85,2.8361695028361695,143.0,162.0
86,2.8695362028695364,143.0,162.0
87,2.902902902902903,145.0,162.0
88,2.9362696029362696,145.0,162.0
89,2.9696363029696364,142.0,162.0
90,3.0030030030030033,138.0,162.0
91,3.0363697030363697,138.0,162.0
92,3.0697364030697365,138.0,162.0
93,3.1031031031031033,138.0,162.0
94,3.1364698031364697,137.0,162.0
95,3.1698365031698366,137.0,162.0
96,3.2032032032032034,137.0,162.0
97,3.2365699032365702,135.0,162.0
98,3.2699366032699366,135.0,162.0
99,3.3033033033033035,135.0,162.0
100,3.3366700033366703,135.0,162.0
101,3.3700367033700367,135.0,162.0
102,3.4034034034034035,135.0,162.0
103,3.4367701034367704,135.0,162.0
104,3.4701368034701368,135.0,162.0
105,3.5035035035035036,134.0,162.0
106,3.5368702035368704,134.0,162.0
107,3.570236903570237,133.0,162.0
108,3.6036036036036037,133.0,162.0
109,3.6369703036369705,133.0,162.0
