slug,display_name,frame_index,time_seconds,width,height,wet_area_px,dry_area_px,wet_fraction_roi,wet_fraction_frame,annotation_count
input2,Run B,1,0.0,1920,1088,0,0.0,0.0,0.0,0
input2,Run B,2,0.3003,1920,1088,375579.0,0.0,0.179792,0.179792,1
input2,Run B,3,0.6006,1920,1088,490093.0,0.0,0.234611,0.234611,1
input2,Run B,4,0.9009,1920,1088,557890.0,0.0,0.267066,0.267066,1
input2,Run B,5,1.2012,1920,1088,615973.0,0.0,0.294871,0.294871,1
input2,Run B,6,1.5015,1920,1088,668459.0,0.0,0.319996,0.319996,1
input2,Run B,7,1.8018,1920,1088,712842.0,0.0,0.341243,0.341243,1
input2,Run B,8,2.1021,1920,1088,759971.0,0.0,0.363804,0.363804,1
input2,Run B,9,2.4024,1920,1088,801481.0,0.0,0.383675,0.383675,1
input2,Run B,10,2.7027,1920,1088,839471.0,0.0,0.401861,0.401861,1
input2,Run B,11,3.003,1920,1088,876257.0,0.0,0.41947,0.41947,2
input2,Run B,12,3.3033,1920,1088,911080.0,0.0,0.43614,0.43614,2
input2,Run B,13,3.6036,1920,1088,941293.0,0.0,0.450604,0.450604,2
input2,Run B,14,3.9039,1920,1088,976059.0,0.0,0.467246,0.467246,2
input2,Run B,15,4.2042,1920,1088,1007008.0,0.0,0.482062,0.482062,2
input2,Run B,16,4.5045,1920,1088,1037071.0,0.0,0.496453,0.496453,2
input2,Run B,17,4.8048,1920,1088,1066145.0,0.0,0.510371,0.510371,1
input2,Run B,18,5.10511,1920,1088,1092908.0,0.0,0.523183,0.523183,1
input2,Run B,19,5.40541,1920,1088,1118878.0,0.0,0.535615,0.535615,1
input2,Run B,20,5.70571,1920,1088,1145758.0,0.0,0.548482,0.548482,1
input2,Run B,21,6.00601,1920,1088,1173188.0,0.0,0.561613,0.561613,1
input2,Run B,22,6.30631,1920,1088,1196883.0,0.0,0.572956,0.572956,1
input2,Run B,23,6.60661,1920,1088,1212065.0,0.0,0.580224,0.580224,1
input2,Run B,24,6.90691,1920,1088,1225107.0,0.0,0.586467,0.586467,1
input2,Run B,25,7.20721,1920,1088,1235845.0,0.0,0.591608,0.591608,1
input2,Run B,26,7.50751,1920,1088,1245920.0,0.0,0.596431,0.596431,1
input2,Run B,27,7.80781,1920,1088,1255361.0,0.0,0.60095,0.60095,1
input2,Run B,28,8.10811,1920,1088,1265274.0,0.0,0.605696,0.605696,1
input2,Run B,29,8.40841,1920,1088,1274105.0,0.0,0.609923,0.609923,2
input2,Run B,30,8.70871,1920,1088,1283922.0,0.0,0.614623,0.614623,3
input2,Run B,31,9.00901,1920,1088,1293788.0,0.0,0.619346,0.619346,5
input2,Run B,32,9.30931,1920,1088,1302589.0,0.0,0.623559,0.623559,6
input2,Run B,33,9.60961,1920,1088,1311284.0,0.0,0.627721,0.627721,6
input2,Run B,34,9.90991,1920,1088,1320522.0,0.0,0.632143,0.632143,5
input2,Run B,35,10.21021,1920,1088,1329852.0,0.0,0.63661,0.63661,6
input2,Run B,36,10.51051,1920,1088,1337660.0,0.0,0.640347,0.640347,5
input2,Run B,37,10.81081,1920,1088,1346287.0,0.0,0.644477,0.644477,5
input2,Run B,38,11.11111,1920,1088,1353790.0,0.0,0.648069,0.648069,4
input2,Run B,39,11.41141,1920,1088,1362184.0,0.0,0.652087,0.652087,3
input2,Run B,40,11.71171,1920,1088,1369703.0,0.0,0.655687,0.655687,3
input2,Run B,41,12.01201,1920,1088,1376753.0,0.0,0.659061,0.659061,3
input2,Run B,42,12.31231,1920,1088,1383664.0,0.0,0.66237,0.66237,3
input2,Run B,43,12.61261,1920,1088,1390274.0,0.0,0.665534,0.665534,3
input2,Run B,44,12.91291,1920,1088,1396891.0,0.0,0.668702,0.668702,3
input2,Run B,45,13.21321,1920,1088,1403189.0,0.0,0.671717,0.671717,3
input2,Run B,46,13.51351,1920,1088,1409680.0,0.0,0.674824,0.674824,2
input2,Run B,47,13.81381,1920,1088,1415986.0,0.0,0.677843,0.677843,2
input2,Run B,48,14.11411,1920,1088,1422365.0,0.0,0.680896,0.680896,2
