bin_center,wet_density,dry_density,wet_count,dry_count
2.67,0.000096,0.000000,82,0
8.00,0.000344,0.000000,294,0
13.33,0.003757,0.000000,3210,0
18.67,0.016655,0.000000,14230,0
24.00,0.015343,0.000000,13109,0
29.33,0.011330,0.000000,9680,0
34.67,0.013479,0.000000,11516,0
40.00,0.012368,0.000000,10567,0
45.33,0.012037,0.000000,10284,0
50.67,0.017394,0.000000,14861,0
56.00,0.028115,0.000000,24021,0
61.33,0.047613,0.000000,40679,0
66.67,0.074102,0.000040,63311,6
72.00,0.059617,0.000020,50935,3
77.33,0.054606,0.000061,46654,9
82.67,0.075895,0.000027,64843,4
88.00,0.073708,0.000054,62974,8
93.33,0.077928,0.000202,66580,30
98.67,0.082771,0.000749,70717,111
104.00,0.058074,0.002860,49617,424
109.33,0.048955,0.009423,41826,1397
114.67,0.049447,0.049285,42246,7307
120.00,0.033011,0.117024,28204,17350
125.33,0.026312,0.165203,22480,24493
130.67,0.025930,0.153831,22154,22807
136.00,0.018191,0.093329,15542,13837
141.33,0.015135,0.065351,12931,9689
146.67,0.014995,0.057231,12811,8485
152.00,0.009111,0.042452,7784,6294
157.33,0.006400,0.035283,5468,5231
162.67,0.005700,0.038352,4870,5686
168.00,0.003807,0.036632,3253,5431
173.33,0.002470,0.029549,2110,4381
178.67,0.001863,0.026723,1592,3962
184.00,0.000913,0.018919,780,2805
189.33,0.000593,0.015763,507,2337
194.67,0.000489,0.015864,418,2352
200.00,0.000296,0.011190,253,1659
205.33,0.000225,0.007129,192,1057
210.67,0.000174,0.003777,149,560
216.00,0.000114,0.001322,97,196
221.33,0.000107,0.000715,91,106
226.67,0.000091,0.000486,78,72
232.00,0.000078,0.000277,67,41
237.33,0.000077,0.000223,66,33
242.67,0.000097,0.000189,83,28
248.00,0.000101,0.000263,86,39
253.33,0.000083,0.000202,71,30
