bin_center,wet_density,dry_density,wet_count,dry_count
2.67,0.000014,0.000000,12,0
8.00,0.000074,0.000000,63,0
13.33,0.000466,0.000000,398,0
18.67,0.009147,0.000000,7815,0
24.00,0.016698,0.000000,14266,0
29.33,0.011024,0.000000,9419,0
34.67,0.012212,0.000000,10434,0
40.00,0.011863,0.000000,10135,0
45.33,0.010514,0.000000,8983,0
50.67,0.014105,0.000000,12051,0
56.00,0.012349,0.000000,10551,0
61.33,0.024137,0.000000,20622,0
66.67,0.050335,0.000013,43005,2
72.00,0.051566,0.000027,44057,4
77.33,0.055231,0.000000,47188,0
82.67,0.057888,0.000061,49458,9
88.00,0.060289,0.000034,51509,5
93.33,0.056232,0.000013,48043,2
98.67,0.083403,0.000243,71257,36
104.00,0.070696,0.000459,60401,68
109.33,0.081267,0.003345,69432,496
114.67,0.065999,0.012282,56388,1821
120.00,0.043808,0.030028,37428,4452
125.33,0.045247,0.099191,38658,14706
130.67,0.036138,0.191791,30875,28435
136.00,0.023730,0.128909,20274,19112
141.33,0.019840,0.096931,16951,14371
146.67,0.020285,0.074275,17331,11012
152.00,0.016842,0.055895,14389,8287
157.33,0.010104,0.040260,8633,5969
162.67,0.008549,0.045157,7304,6695
168.00,0.004686,0.031593,4004,4684
173.33,0.004211,0.043552,3598,6457
178.67,0.003273,0.037529,2796,5564
184.00,0.002012,0.022386,1719,3319
189.33,0.001585,0.019897,1354,2950
194.67,0.001550,0.023762,1324,3523
200.00,0.000611,0.013051,522,1935
205.33,0.000431,0.011035,368,1636
210.67,0.000391,0.008687,334,1288
216.00,0.000273,0.004546,233,674
221.33,0.000177,0.001747,151,259
226.67,0.000158,0.001201,135,178
232.00,0.000099,0.000540,85,80
237.33,0.000095,0.000398,81,59
242.67,0.000095,0.000324,81,48
248.00,0.000102,0.000304,87,45
253.33,0.000200,0.000533,171,79
