bin_center,wet_density,dry_density,wet_count,dry_count
2.67,0.000153,0.000000,131,0
8.00,0.003605,0.000000,3080,0
13.33,0.011795,0.000000,10077,0
18.67,0.015287,0.000000,13061,0
24.00,0.009647,0.000000,8242,0
29.33,0.009023,0.000000,7709,0
34.67,0.010330,0.000000,8826,0
40.00,0.010617,0.000000,9071,0
45.33,0.009121,0.000000,7793,0
50.67,0.012635,0.000000,10795,0
56.00,0.013638,0.000000,11652,0
61.33,0.021035,0.000000,17972,0
66.67,0.041392,0.000007,35364,1
72.00,0.048165,0.000027,41151,4
77.33,0.061570,0.000027,52604,4
82.67,0.062768,0.000054,53627,8
88.00,0.050143,0.000020,42841,3
93.33,0.066977,0.000047,57223,7
98.67,0.083368,0.000108,71227,16
104.00,0.069557,0.000283,59428,42
109.33,0.064163,0.000648,54819,96
114.67,0.071685,0.004040,61246,599
120.00,0.044291,0.010131,37841,1502
125.33,0.038243,0.036456,32674,5405
130.67,0.040102,0.125793,34262,18650
136.00,0.027167,0.180386,23211,26744
141.33,0.021594,0.133556,18449,19801
146.67,0.021495,0.119425,18365,17706
152.00,0.014375,0.062721,12282,9299
157.33,0.013503,0.051106,11537,7577
162.67,0.010811,0.051430,9237,7625
168.00,0.006057,0.033549,5175,4974
173.33,0.004245,0.030453,3627,4515
178.67,0.004599,0.045245,3929,6708
184.00,0.002411,0.028180,2060,4178
189.33,0.001362,0.020370,1164,3020
194.67,0.001005,0.021678,859,3214
200.00,0.000527,0.014360,450,2129
205.33,0.000344,0.013827,294,2050
210.67,0.000276,0.009436,236,1399
216.00,0.000171,0.003238,146,480
221.33,0.000139,0.001309,119,194
226.67,0.000114,0.000762,97,113
232.00,0.000088,0.000317,75,47
237.33,0.000085,0.000310,73,46
242.67,0.000104,0.000189,89,28
248.00,0.000108,0.000290,92,43
253.33,0.000107,0.000223,91,33
