frame,L1,P1,L2,P2,L3,P3,L4,P4
0,152,152,160,160,137,137,108,108
1,155,155,163,163,137,137,111,111
2,155,155,163,163,137,137,109,111
3,155,155,162,163,137,137,110,111
4,152,155,160,163,137,137,108,111
5,151,155,160,163,137,137,116,116
6,152,155,160,163,137,137,112,116
7,154,155,160,163,137,137,112,116
8,152,155,160,163,137,137,112,116
9,152,155,160,163,137,137,113,116
10,152,155,160,163,137,137,113,116
11,152,155,160,163,137,137,113,116
12,151,155,160,163,137,137,113,116
13,151,155,160,163,137,137,113,116
14,151,155,160,163,137,137,114,116
15,151,155,160,163,137,137,115,116
16,151,155,160,163,137,137,115,116
17,151,155,161,163,137,137,115,116
18,151,155,160,163,137,137,115,116
19,154,155,163,163,137,137,113,116
20,159,159,163,163,137,137,114,116
21,159,159,163,163,137,137,114,116
22,159,159,163,163,137,137,118,118
23,159,159,163,163,137,137,118,118
24,158,159,163,163,137,137,118,118
25,155,159,160,163,137,137,118,118
26,153,159,160,163,137,137,118,118
27,153,159,160,163,137,137,119,119
28,153,159,160,163,137,137,117,119
29,153,159,160,163,137,137,117,119
30,152,159,160,163,137,137,119,119
31,152,159,160,163,137,137,119,119
32,152,159,160,163,137,137,119,119
33,152,159,160,163,137,137,119,119
34,152,159,160,163,137,137,119,119
35,152,159,160,163,137,137,116,119
36,152,159,160,163,137,137,116,119
37,152,159,160,163,137,137,117,119
38,152,159,160,163,137,137,117,119
39,152,159,160,163,137,137,120,120
40,152,159,160,163,137,137,117,120
41,157,159,161,163,139,139,116,120
42,156,159,161,163,137,139,116,120
43,156,159,161,163,137,139,116,120
44,156,159,161,163,137,139,116,120
45,157,159,161,163,137,139,116,120
46,158,159,161,163,137,139,116,120
47,158,159,161,163,137,139,116,120
48,158,159,161,163,137,139,116,120
49,158,159,161,163,137,139,116,120
50,158,159,161,163,137,139,116,120
51,158,159,161,163,137,139,116,120
52,158,159,161,163,137,139,116,120
53,158,159,161,163,137,139,117,120
54,158,159,161,163,137,139,117,120
55,158,159,161,163,137,139,117,120
56,158,159,161,163,137,139,117,120
57,158,159,166,166,137,139,117,120
58,158,159,166,166,137,139,117,120
59,158,159,166,166,137,139,117,120
60,158,159,166,166,137,139,117,120
61,158,159,166,166,137,139,117,120
62,158,159,166,166,137,139,117,120
63,158,159,166,166,137,139,117,120
64,158,159,166,166,137,139,117,120
65,159,159,166,166,137,139,117,120
66,162,162,163,166,137,139,118,120
67,163,163,165,166,137,139,119,120
68,161,163,160,166,138,139,119,120
69,161,163,163,166,139,139,119,120
70,161,163,167,167,139,139,118,120
71,158,163,167,167,139,139,118,120
72,158,163,167,167,139,139,119,120
73,153,163,167,167,139,139,118,120
74,153,163,167,167,139,139,118,120
75,148,163,167,167,139,139,119,120
76,148,163,166,167,139,139,119,120
77,142,163,166,167,139,139,119,120
78,142,163,166,167,139,139,118,120
79,136,163,166,167,139,139,118,120
80,136,163,166,167,139,139,118,120
81,131,163,169,169,140,140,118,120
82,131,163,169,169,140,140,118,120
83,126,163,169,169,140,140,118,120
84,126,163,169,169,140,140,118,120
85,126,163,169,169,140,140,118,120
86,126,163,169,169,140,140,118,120
87,126,163,169,169,140,140,118,120
88,125,163,169,169,140,140,118,120
89,125,163,169,169,141,141,118,120
90,124,163,169,169,141,141,120,120
91,124,163,169,169,141,141,120,120
92,124,163,169,169,141,141,120,120
93,123,163,169,169,141,141,120,120
94,121,163,169,169,141,141,120,120
95,121,163,169,169,141,141,120,120
96,121,163,169,169,141,141,120,120
97,121,163,169,169,141,141,120,120
98,113,163,168,169,141,141,120,120
99,110,163,169,169,141,141,120,120
100,102,163,167,169,141,141,120,120
101,96,163,167,169,141,141,120,120
102,96,163,167,169,141,141,120,120
103,96,163,167,169,141,141,120,120
104,96,163,167,169,141,141,120,120
105,94,163,167,169,141,141,121,121
106,90,163,167,169,141,141,120,121
107,90,163,167,169,141,141,121,121
108,90,163,167,169,141,141,120,121
109,87,163,167,169,141,141,120,121
110,85,163,167,169,141,141,120,121
111,85,163,167,169,141,141,120,121
112,85,163,167,169,141,141,120,121
113,84,163,167,169,141,141,121,121
114,84,163,167,169,141,141,121,121
115,84,163,167,169,141,141,122,122
116,84,163,167,169,141,141,122,122
117,85,163,167,169,141,141,122,122
118,85,163,167,169,141,141,122,122
119,87,163,167,169,141,141,122,122
120,87,163,167,169,141,141,122,122
121,87,163,165,169,141,141,122,122
122,87,163,165,169,141,141,122,122
123,87,163,165,169,141,141,122,122
124,87,163,165,169,141,141,122,122
125,86,163,165,169,141,141,122,122
126,86,163,165,169,141,141,122,122
127,86,163,165,169,141,141,122,122
128,86,163,165,169,141,141,122,122
129,86,163,166,169,140,141,122,122
130,86,163,166,169,139,141,122,122
131,85,163,166,169,139,141,122,122
132,85,163,166,169,138,141,122,122
133,86,163,165,169,138,141,122,122
134,87,163,165,169,138,141,122,122
135,87,163,165,169,138,141,122,122
136,87,163,165,169,138,141,122,122
137,86,163,165,169,138,141,122,122
138,86,163,165,169,138,141,122,122
139,83,163,165,169,138,141,122,122
140,83,163,165,169,138,141,122,122
141,82,163,165,169,138,141,122,122
142,82,163,165,169,138,141,122,122
143,86,163,165,169,138,141,122,122
144,86,163,165,169,138,141,122,122
145,89,163,165,169,138,141,122,122
146,89,163,165,169,138,141,122,122
147,90,163,165,169,138,141,122,122
148,90,163,165,169,138,141,122,122
149,94,163,165,169,138,141,122,122
150,98,163,165,169,138,141,122,122
151,98,163,165,169,138,141,122,122
152,98,163,165,169,138,141,122,122
153,98,163,165,169,138,141,122,122
154,97,163,165,169,138,141,122,122
155,97,163,165,169,138,141,122,122
156,97,163,165,169,138,141,122,122
157,97,163,165,169,138,141,122,122
158,95,163,165,169,138,141,122,122
159,95,163,165,169,138,141,122,122
160,91,163,169,169,138,141,122,122
161,91,163,169,169,138,141,122,122
162,91,163,169,169,138,141,122,122
163,90,163,169,169,140,141,122,122
164,90,163,169,169,140,141,122,122
165,89,163,169,169,138,141,122,122
166,89,163,169,169,138,141,122,122
167,94,163,169,169,138,141,122,122
168,94,163,169,169,138,141,122,122
169,92,163,169,169,138,141,121,122
170,92,163,169,169,138,141,121,122
171,91,163,170,170,138,141,121,122
172,91,163,170,170,138,141,121,122
173,91,163,170,170,138,141,121,122
174,91,163,170,170,138,141,121,122
175,92,163,170,170,138,141,121,122
176,92,163,170,170,138,141,121,122
177,95,163,170,170,138,141,121,122
178,95,163,170,170,138,141,121,122
179,95,163,170,170,138,141,121,122
180,98,163,168,170,138,141,121,122
181,99,163,169,170,138,141,121,122
182,99,163,170,170,138,141,121,122
183,100,163,170,170,138,141,121,122
184,101,163,170,170,138,141,122,122
185,100,163,170,170,138,141,122,122
186,100,163,170,170,138,141,122,122
187,99,163,170,170,138,141,122,122
188,99,163,170,170,137,141,122,122
