bin_center,count
1.99,92314
5.98,39257
9.96,13805
13.95,9100
17.93,9174
21.91,10876
25.90,12190
29.88,13244
33.87,13718
37.85,13325
41.84,13340
45.82,13288
49.80,9078
53.79,14497
57.77,16821
61.76,20143
65.74,25296
69.73,34538
73.71,44421
77.70,55620
81.68,72683
85.66,95453
89.65,105409
93.63,104189
97.62,55052
101.60,51843
105.59,23907
109.57,9913
113.55,3805
117.54,1627
121.52,978
125.51,676
129.49,481
133.48,428
137.46,399
141.45,353
145.43,228
149.41,274
153.40,228
157.38,157
161.37,132
165.35,93
169.34,69
173.32,57
177.30,33
181.29,11
185.27,3
189.26,4
193.24,8
197.23,5
201.21,7
205.20,5
209.18,3
213.16,6
217.15,3
221.13,8
225.12,8
229.10,6
233.09,8
237.07,7
241.05,7
245.04,7
249.02,9
253.01,6
